dir_rel,file_count,total_size_bytes,total_size_mb
_attic/docs_dump/_root_archive/20260301_014802/exports/codex_history_20260221_005517,4,30493769,29.08
,82,22120140,21.1
docs/visual-baselines/ui-improvement-scenes,9,20801364,19.84
tools/codex/runs/20260305_092736_F9A0/D_validation,17,15475959,14.76
tools/codex/runs/20260302_001507_20C8/Z_aggregator,21,14831143,14.14
_attic/docs_dump/_root_archive/20260301_014802/exports,2,9616565,9.17
tools/_local/context_exports/Macro,7,9368488,8.93
artifacts/keystone-scene-studio/scenes/pitch-04-valuation-fx-tablet/2026-03-04T05-10-02.654Z,6,7467373,7.12
artifacts/keystone-scene-studio/scenes/pitch-04-valuation-fx-tablet/2026-03-04T18-42-46.159Z,6,7259029,6.92
artifacts/keystone-scene-studio/scenes/pitch-01-double-engine-fx-desktop/2026-03-04T05-10-02.654Z,6,6554041,6.25
docs/knowledge/codex_chats/export_20260304_152713/export/analysis,5,6388487,6.09
artifacts/keystone-scene-studio/scenes/pitch-01-double-engine-fx-desktop/2026-03-04T05-09-23.094Z,6,6371577,6.08
artifacts/keystone-scene-studio/scenes/pitch-01-double-engine-fx-desktop/2026-03-04T18-42-46.159Z,6,6371373,6.08
artifacts/keystone-scene-studio/scenes/pitch-01-double-engine-fx-desktop/2026-03-04T05-15-30.603Z,6,6371356,6.08
artifacts/keystone-scene-studio/scenes/pitch-01-double-engine-fx-desktop/2026-03-04T05-21-22.529Z,6,6371356,6.08
artifacts/ui-improvement-reports/pitch-01-double-engine-default-desktop,6,6069449,5.79
artifacts/keystone-scene-studio/scenes/pitch-02-industrial-flow-layered-desktop/2026-03-04T05-10-02.654Z,6,5900636,5.63
artifacts/ui-improvement-reports/pitch-02-industrial-flow-layered-desktop,6,5899729,5.63
artifacts/keystone-scene-studio/scenes/pitch-02-industrial-flow-layered-desktop/2026-03-04T18-42-46.159Z,6,5771435,5.5
artifacts/keystone-scene-studio/scenes/pitch-02-industrial-flow-layered-desktop/2026-03-04T05-09-23.094Z,6,5771433,5.5
artifacts/keystone-scene-studio/scenes/pitch-02-industrial-flow-layered-desktop/2026-03-04T05-15-30.603Z,6,5771433,5.5
artifacts/keystone-scene-studio/scenes/pitch-02-industrial-flow-layered-desktop/2026-03-04T05-21-22.529Z,6,5771433,5.5
artifacts/keystone-scene-studio/scenes/pitch-03-hitech-os-fx-desktop/2026-03-04T05-10-02.654Z,6,5745910,5.48
artifacts/keystone-scene-studio/scenes/pitch-02-industrial-flow-default-desktop/2026-03-04T05-10-02.654Z,6,5710003,5.45
artifacts/ui-improvement-reports/pitch-02-industrial-flow-default-desktop,6,5708910,5.44
artifacts/keystone-scene-studio/scenes/pitch-02-industrial-flow-default-desktop/2026-03-04T05-15-30.603Z,6,5608551,5.35
artifacts/keystone-scene-studio/scenes/pitch-02-industrial-flow-default-desktop/2026-03-04T05-21-22.529Z,6,5608551,5.35
artifacts/keystone-scene-studio/scenes/pitch-02-industrial-flow-default-desktop/2026-03-04T05-09-23.094Z,6,5608548,5.35
