ext,file_count,total_size_bytes,total_size_mb,avg_size_kb,min_size_bytes,max_size_bytes
.png,272,523414546,499.17,1879.22,377142,20264692
.patch,271,87706749,83.64,316.06,0,18713282
.json,3620,83454718,79.59,22.51,2,19589113
.ts,1504,34323176,32.73,22.29,30,1679104
.csv,4,14835645,14.15,3621.98,646,10083689
.jsonl,215,14524731,13.85,65.97,0,10585783
.txt,1636,13395181,12.77,8.0,0,10255321
.md,2122,13390749,12.77,6.16,0,9813842
.py,1003,10911627,10.41,10.62,0,958198
.svg,1147,7667999,7.31,6.53,609,143252
.mjs,238,2472997,2.36,10.15,79,963883
.css,79,2278175,2.17,28.16,253,940888
.tsx,757,2120442,2.02,2.74,98,55625
.yaml,47,1765070,1.68,36.67,85,208831
.ps1,225,1686997,1.61,7.32,18,63365
.tsbuildinfo,15,1619917,1.54,105.46,177,253645
.dot,1006,1061443,1.01,1.03,283,9853
.html,105,654942,0.62,6.09,300,406912
.mmd,14,343321,0.33,23.95,2958,182355
.zip,15,180070,0.17,11.72,4067,25760
.sha256,69,169410,0.16,2.4,87,35436
.ahk,19,166116,0.16,8.54,105,24947
.js,8,45079,0.04,5.5,2243,21643
,8,11576,0.01,1.41,33,10173
.tpl,15,11035,0.01,0.72,39,1975
.code-workspace,30,9108,0.01,0.3,296,308
.bat,3,8699,0.01,2.83,691,6110
.cjs,30,7520,0.01,0.24,67,2143
.tsv,7,6492,0.01,0.91,18,4704
.toml,7,4356,0.0,0.61,622,623
.bak_peers_20260301_084250,1,3287,0.0,3.21,3287,3287
.bak_peers_20260301_084852,1,3287,0.0,3.21,3287,3287
.bak_peers_20260301_085406,1,3286,0.0,3.21,3286,3286
.bak_peers_20260301_085621,1,3286,0.0,3.21,3286,3286
.bak_peers_20260301_085719,1,3286,0.0,3.21,3286,3286
.bak_peers_20260301_083436,1,3040,0.0,2.97,3040,3040
.bak_turbo_20260301_083436,1,3040,0.0,2.97,3040,3040
.marker,62,2232,0.0,0.04,24,45
.jsonc,1,971,0.0,0.95,971,971
.ini,7,756,0.0,0.11,108,108
.mermaid,1,703,0.0,0.69,703,703
.psm1,1,661,0.0,0.65,661,661
.cff,1,194,0.0,0.19,194,194
.sh,4,148,0.0,0.04,37,37
.yml,2,138,0.0,0.07,59,79
