rel_path,dir_rel,name,ext,size_bytes,mtime_iso,mtime_epoch,is_symlink,depth,sha1
AGENTS.md,,AGENTS.md,.md,5576,2026-03-05T03:06:28,1772701588,0,0,
ARCHITECTURE_DECISIONS.md,,ARCHITECTURE_DECISIONS.md,.md,41,2026-03-04T04:17:34,1772619454,0,0,
BACKUP_AND_RECOVERY.md,,BACKUP_AND_RECOVERY.md,.md,54,2026-03-04T04:17:34,1772619454,0,0,
BENCHMARKS.md,,BENCHMARKS.md,.md,32,2026-03-04T04:17:34,1772619454,0,0,
BRANDING.md,,BRANDING.md,.md,122,2026-03-04T04:17:34,1772619454,0,0,
CHANGELOG.md,,CHANGELOG.md,.md,49,2026-03-04T04:17:34,1772619454,0,0,
CITATION.cff,,CITATION.cff,.cff,194,2026-03-04T04:17:34,1772619454,0,0,
CLA.md,,CLA.md,.md,88,2026-03-04T04:17:34,1772619454,0,0,
CODESTYLE.md,,CODESTYLE.md,.md,27,2026-03-04T04:17:34,1772619454,0,0,
CODE_OF_CONDUCT.md,,CODE_OF_CONDUCT.md,.md,51,2026-03-04T04:17:34,1772619454,0,0,
COMMUNITY.md,,COMMUNITY.md,.md,51,2026-03-04T04:17:34,1772619454,0,0,
COMPATIBILITY.md,,COMPATIBILITY.md,.md,38,2026-03-04T04:17:34,1772619454,0,0,
CONFIGURATION.md,,CONFIGURATION.md,.md,35,2026-03-04T04:17:34,1772619454,0,0,
CONFIGURATION_REFERENCE.md,,CONFIGURATION_REFERENCE.md,.md,40,2026-03-04T04:17:34,1772619454,0,0,
CONTRIBUTING.md,,CONTRIBUTING.md,.md,64,2026-03-04T04:17:34,1772619454,0,0,
"ChatGPT Image 2 mar 2026, 01_51_26 a.m..png",,"ChatGPT Image 2 mar 2026, 01_51_26 a.m..png",.png,1557361,2026-03-02T01:51:26,1772437886,0,0,
DATA_FLOW.md,,DATA_FLOW.md,.md,41,2026-03-04T04:17:34,1772619454,0,0,
DCO.md,,DCO.md,.md,37,2026-03-04T04:17:34,1772619454,0,0,
DEPENDENCIES.md,,DEPENDENCIES.md,.md,36,2026-03-04T04:17:34,1772619454,0,0,
DEPENDENCY_POLICY.md,,DEPENDENCY_POLICY.md,.md,67,2026-03-04T04:17:34,1772619454,0,0,
DEPLOYMENT.md,,DEPLOYMENT.md,.md,42,2026-03-04T04:17:34,1772619454,0,0,
DEPRECATIONS.md,,DEPRECATIONS.md,.md,36,2026-03-04T04:17:34,1772619454,0,0,
Dockerfile,,Dockerfile,,47,2026-03-04T04:17:34,1772619454,0,0,
ENVIRONMENT.md,,ENVIRONMENT.md,.md,37,2026-03-04T04:17:34,1772619454,0,0,
ENVIRONMENT_VARIABLES.md,,ENVIRONMENT_VARIABLES.md,.md,41,2026-03-04T04:17:34,1772619454,0,0,
FAQ.md,,FAQ.md,.md,104,2026-03-04T04:17:34,1772619454,0,0,
FINAL_REPORT.md,,FINAL_REPORT.md,.md,3106,2026-03-04T14:05:41,1772654741,0,0,
GOVERNANCE.md,,GOVERNANCE.md,.md,72,2026-03-04T04:17:34,1772619454,0,0,
HITECH_GUARDRAILS_LAW_v1.zip,,HITECH_GUARDRAILS_LAW_v1.zip,.zip,10057,2026-03-01T13:38:34,1772393914,0,0,
INCIDENT_RESPONSE.md,,INCIDENT_RESPONSE.md,.md,49,2026-03-04T04:17:34,1772619454,0,0,
KERNEL_CONTEXT.md,,KERNEL_CONTEXT.md,.md,2681,2026-02-23T19:15:27,1771895727,0,0,
LICENSE,,LICENSE,,10173,2026-03-04T04:17:34,1772619454,0,0,
MAINTAINERS.md,,MAINTAINERS.md,.md,58,2026-03-04T04:17:34,1772619454,0,0,
MIGRATIONS.md,,MIGRATIONS.md,.md,43,2026-03-04T04:17:34,1772619454,0,0,
MODULE_BOUNDARIES.md,,MODULE_BOUNDARIES.md,.md,49,2026-03-04T04:17:34,1772619454,0,0,
Makefile,,Makefile,,33,2026-03-04T04:17:34,1772619454,0,0,
NOTICE,,NOTICE,,173,2026-03-04T04:17:34,1772619454,0,0,
PERFORMANCE.md,,PERFORMANCE.md,.md,36,2026-03-04T04:17:34,1772619454,0,0,
PRIVACY.md,,PRIVACY.md,.md,28,2026-03-04T04:17:34,1772619454,0,0,
QUALITY_STANDARDS.md,,QUALITY_STANDARDS.md,.md,51,2026-03-04T04:17:34,1772619454,0,0,
README.md,,README.md,.md,1358,2026-03-01T12:55:44,1772391344,0,0,
RELEASING.md,,RELEASING.md,.md,31,2026-03-04T04:17:34,1772619454,0,0,
ROADMAP.md,,ROADMAP.md,.md,73,2026-03-04T04:17:34,1772619454,0,0,
RUNBOOK.md,,RUNBOOK.md,.md,35,2026-03-04T04:17:34,1772619454,0,0,
