"id","point","status","severity","detail"
"file:products/pc/app/src/uiux/copy-dictionary.ts","Diccionario humano","PASS","P1","Archivo presente"
"file:products/pc/app/src/uiux/status-translator.ts","Traductor de estados","PASS","P1","Archivo presente"
"file:products/pc/app/src/uiux/page-contracts.ts","Contratos por ruta","PASS","P1","Archivo presente"
"file:products/pc/app/src/uiux/route-map.ts","Mapa de rutas","PASS","P1","Archivo presente"
"file:products/pc/app/src/uiux/decision-model.ts","Modelo de decisión","PASS","P1","Archivo presente"
"file:products/pc/app/src/uiux/technical-route-map.ts","Reubicación de términos técnicos","PASS","P1","Archivo presente"
"file:products/pc/app/components/uiux/decision-screen.tsx","DecisionScreen universal","PASS","P1","Archivo presente"
"file:products/pc/app/components/uiux/pc-module-shell.tsx","PcModuleShell","PASS","P1","Archivo presente"
"file:products/pc/app/components/uiux/pc-subnav.tsx","PcSubnav estándar","PASS","P1","Archivo presente"
"file:products/pc/app/components/uiux/pc-route-contract-provider.tsx","PcRouteContractProvider","PASS","P1","Archivo presente"
"file:products/pc/app/tools/verify_pc_uiux_route_adoption_gate_v02.mjs","Verificador V02","PASS","P1","Archivo presente"
"file:products/pc/app/app/dashboard/page.tsx","Adopción en Hoy","PASS","P1","Archivo presente"
"route-contract-coverage","Contratos para todas las rutas PC","PASS","P1","65 rutas cubiertas"
"route-map-coverage","Route-map para todas las rutas PC","PASS","P1","65 rutas cubiertas"
"human-primary-navigation","Navegación principal sólo humana","PASS","P1",""
"appshell-contract-actions","AppShell resuelve título/acción desde contrato","PASS","P1","AppShell usa route model"
"appshell-intent-subnav","AppShell muestra pregunta y subnav estándar","PASS","P1","RouteIntentStrip + PcSubnav"
"dashboard-decision-screen","DecisionScreen integrado en Hoy","PASS","P1","Dashboard importa/renderiza DecisionScreen"
"dashboard-evidence","EvidenceDrawer real por pantalla","PASS","P1","Dashboard alimenta evidencia desde contrato"
"decision-model:normalizePcPathname","Normalización de rutas","PASS","P2","Presente"
"decision-model:getPcRouteContract","Resolución de contrato por ruta","PASS","P2","Presente"
"decision-model:buildEvidenceDrawerItems","Builder de evidencia","PASS","P2","Presente"
"decision-model:PC_STANDARD_SUBNAV","Subnav estándar","PASS","P2","Presente"
"decision-model:getPrimaryRouteActions","Acciones por contrato","PASS","P2","Presente"
"decision-model:getRouteEmptyState","Empty states por contrato","PASS","P2","Presente"
"decision-model:getRouteErrorState","Error states por contrato","PASS","P2","Presente"
"evidence-closed","Evidencia técnica cerrada por defecto","PASS","P1","details + data-evidence-default"
"evidence-separated","Evidencia operativa separada de técnica","PASS","P2","Kinds separados"
"status-translator-used","Status translator usado por badges","PASS","P1","HumanStatusBadge importa humanizePcStatus"
"confidence-freshness-translated","Confidence/freshness traducidos","PASS","P2","Funciones presentes"
"actionable-table-enforces-action","Tabla accionable exige Qué hacer","PASS","P2","Columna obligatoria/autogenerada"
"confirm-real-action","Confirmación para acciones reales","PASS","P2","Checkbox de consecuencia presente"
"technical-relocation:Runtime","Reubicación de Runtime","PASS","P2","Mapeado"
"technical-relocation:Data Quality","Reubicación de Data Quality","PASS","P2","Mapeado"
"technical-relocation:License Runtime","Reubicación de License Runtime","PASS","P2","Mapeado"
"technical-relocation:Tablet Communication","Reubicación de Tablet Communication","PASS","P2","Mapeado"
"technical-relocation:Devices","Reubicación de Devices","PASS","P2","Mapeado"
"technical-relocation:Audit","Reubicación de Audit","PASS","P2","Mapeado"
"technical-relocation:Counts","Reubicación de Counts","PASS","P2","Mapeado"
"technical-relocation:Movements","Reubicación de Movements","PASS","P2","Mapeado"
"package-script-v02","Script de verificación V02 en package.json","PASS","P1","node tools/verify_pc_uiux_route_adoption_gate_v02.mjs --root ../../.."
"package-smoke-declared","Smoke typecheck/build declarado","PASS","P2","typecheck=true build=true"
"no-fake-green","No fake green en verificador","PASS","P1","No hay PASS con detalle contradictorio"
