"route","hasContract","hasRouteMap","usesDecisionScreen","usesAppShell","usesEvidence","hasHumanContract"
"/","YES","YES","NO","NO","NO","YES"
"/acciones-masivas","YES","YES","YES","NO","NO","YES"
"/ajustes-inventario","YES","YES","NO","YES","NO","YES"
"/alertas-ejecutivas","YES","YES","NO","NO","NO","YES"
"/alertas-operativas","YES","YES","NO","YES","NO","YES"
"/audit","YES","YES","YES","NO","NO","YES"
"/auditoria-inventario","YES","YES","NO","NO","NO","YES"
"/cash-sessions","YES","YES","NO","NO","NO","YES"
"/catalog","YES","YES","NO","NO","NO","YES"
"/catalogo-activo","YES","YES","NO","YES","NO","YES"
"/clientes","YES","YES","NO","NO","NO","YES"
"/conteos-operativos","YES","YES","NO","YES","NO","YES"
"/contratos-reporte","YES","YES","YES","NO","NO","YES"
"/counts","YES","YES","NO","NO","NO","YES"
"/dashboard","YES","YES","YES","NO","YES","YES"
"/data-quality","YES","YES","NO","NO","NO","YES"
"/detalle-registros","YES","YES","YES","NO","NO","YES"
"/devices","YES","YES","NO","NO","NO","YES"
"/estados-operativos","YES","YES","YES","NO","NO","YES"
"/existencias-criticas","YES","YES","NO","NO","NO","YES"
"/exportables","YES","YES","YES","NO","NO","YES"
"/filtros-avanzados","YES","YES","YES","NO","NO","YES"
"/filtros-fecha","YES","YES","YES","NO","NO","YES"
"/forecast-basico","YES","YES","YES","NO","NO","YES"
"/glosario","YES","YES","YES","NO","NO","YES"
"/gobierno","YES","YES","YES","NO","NO","YES"
"/incidencias-recepcion","YES","YES","YES","NO","NO","YES"
"/integridad-barcodes","YES","YES","NO","YES","NO","YES"
"/laboratorio-pc","YES","YES","NO","NO","NO","YES"
"/laboratorio-pc/chart-lab","YES","YES","NO","NO","NO","YES"
"/laboratorio-pc/dashboard-governor","YES","YES","NO","NO","NO","YES"
"/laboratorio-pc/referencia-visual","YES","YES","NO","NO","NO","YES"
"/laboratorio-pc/referencia-visual/liquid-glass","YES","YES","NO","NO","NO","YES"
"/laboratorio-pc/referencia-visual/liquid-glass-capsules","YES","YES","NO","NO","NO","YES"
"/license-runtime","YES","YES","NO","NO","NO","YES"
"/metricas-dia","YES","YES","NO","YES","NO","YES"
"/movements","YES","YES","NO","NO","NO","YES"
"/ordenes-compra","YES","YES","YES","NO","NO","YES"
"/outbox-operativo","YES","YES","YES","NO","NO","YES"
"/politica-precios","YES","YES","NO","YES","NO","YES"
"/prisma-insights","YES","YES","YES","NO","NO","YES"
"/prisma-insights/chart-lab","YES","YES","NO","NO","NO","YES"
"/proveedores","YES","YES","NO","NO","NO","YES"
"/purchasing","YES","YES","NO","NO","NO","YES"
"/receiving","YES","YES","NO","NO","NO","YES"
"/recepcion-proveedor","YES","YES","YES","NO","NO","YES"
"/referencia-visual","YES","YES","NO","NO","NO","YES"
"/referencia-visual/liquid-glass","YES","YES","NO","NO","NO","YES"
"/referencia-visual/liquid-glass-capsules","YES","YES","NO","NO","NO","YES"
"/replenishment","YES","YES","NO","NO","NO","YES"
"/sales-control","YES","YES","NO","NO","NO","YES"
"/salud-barcodes","YES","YES","NO","YES","NO","YES"
"/scorecards-negocio","YES","YES","YES","NO","NO","YES"
"/senal-reabasto","YES","YES","YES","NO","NO","YES"
"/settings","YES","YES","NO","NO","NO","YES"
"/settings/license","YES","YES","YES","NO","NO","YES"
"/setup","YES","YES","YES","NO","NO","YES"
"/stock","YES","YES","NO","NO","NO","YES"
"/sync","YES","YES","NO","NO","NO","YES"
"/sync-operativo","YES","YES","NO","NO","NO","YES"
"/tablas-operativas","YES","YES","YES","NO","NO","YES"
"/tablero-kpi","YES","YES","YES","NO","NO","YES"
"/tablet-communication","YES","YES","NO","NO","NO","YES"
"/validacion-catalogo","YES","YES","NO","YES","NO","YES"
"/vistas-ejecutivas","YES","YES","YES","NO","NO","YES"
