id,businessId,terminalId,topic,eventType,aggregateId,idempotencyKey,correlationId,payloadJson,source,schemaVersion,status,lifecycleStatus,attempts,createdAt,sentAt,receivedAt,validatedAt,acceptedAt,projectedAt,reconciledAt,failedAt,deadLetterAt,conflictCode,diagnosticsJson,lastError
evt_seedline_sale_0001,biz_prisma_rey_lineage_seed,term_tablet_pos_001,sales.sale.closed,SALE_CLOSED,sale_seedline_0001,[REDACTED_SECRET],corr_seedline_0001,"{""clientRequestId"":""req_seedline_0001"",""createdAt"":""2026-07-05T09:03:00Z"",""folio"":""PR-20260705-0001"",""originBusinessId"":""biz_prisma_rey_lineage_seed"",""originDeviceId"":""DEV-2026-000002"",""originDeviceType"":""tablet_pos"",""originSaleId"":""sale_seedline_0001"",""originStoreId"":""store_prisma_rey_centro"",""originTerminalId"":""term_tablet_pos_001"",""saleId"":""sale_seedline_0001"",""seedline"":true,""sourceEventId"":""evt_seedline_sale_0001"",""status"":""PAID"",""surface"":""tablet"",""syncBatchId"":""sync_batch_seedline_001"",""target"":""canonical"",""totalCents"":3300}",canonical.seedline_projection,seedline.v1,accepted,seedline_correlated,1,2026-07-05T09:03:00Z,2026-07-05T09:03:00Z,2026-07-05T09:03:00Z,2026-07-05T09:03:00Z,2026-07-05T09:03:00Z,2026-07-05T09:03:00Z,2026-07-05T09:03:00Z,,,,"{""lineage"": ""explicit"", ""seedline"": true}",
evt_seedline_sale_0002,biz_prisma_rey_lineage_seed,term_tablet_pos_001,sales.sale.closed,SALE_CLOSED,sale_seedline_0002,[REDACTED_SECRET],corr_seedline_0002,"{""clientRequestId"":""req_seedline_0002"",""createdAt"":""2026-07-05T09:06:00Z"",""folio"":""PR-20260705-0002"",""originBusinessId"":""biz_prisma_rey_lineage_seed"",""originDeviceId"":""DEV-2026-000002"",""originDeviceType"":""tablet_pos"",""originSaleId"":""sale_seedline_0002"",""originStoreId"":""store_prisma_rey_centro"",""originTerminalId"":""term_tablet_pos_001"",""saleId"":""sale_seedline_0002"",""seedline"":true,""sourceEventId"":""evt_seedline_sale_0002"",""status"":""COMPLETED"",""surface"":""tablet"",""syncBatchId"":""sync_batch_seedline_001"",""target"":""canonical"",""totalCents"":3000}",canonical.seedline_projection,seedline.v1,accepted,seedline_correlated,1,2026-07-05T09:06:00Z,2026-07-05T09:06:00Z,2026-07-05T09:06:00Z,2026-07-05T09:06:00Z,2026-07-05T09:06:00Z,2026-07-05T09:06:00Z,2026-07-05T09:06:00Z,,,,"{""lineage"": ""explicit"", ""seedline"": true}",
evt_seedline_sale_0003,biz_prisma_rey_lineage_seed,term_tablet_pos_001,sales.sale.closed,SALE_CLOSED,sale_seedline_0003,[REDACTED_SECRET],corr_seedline_0003,"{""clientRequestId"":""req_seedline_0003"",""createdAt"":""2026-07-05T09:09:00Z"",""folio"":""PR-20260705-0003"",""originBusinessId"":""biz_prisma_rey_lineage_seed"",""originDeviceId"":""DEV-2026-000002"",""originDeviceType"":""tablet_pos"",""originSaleId"":""sale_seedline_0003"",""originStoreId"":""store_prisma_rey_centro"",""originTerminalId"":""term_tablet_pos_001"",""saleId"":""sale_seedline_0003"",""seedline"":true,""sourceEventId"":""evt_seedline_sale_0003"",""status"":""PAID"",""surface"":""tablet"",""syncBatchId"":""sync_batch_seedline_001"",""target"":""canonical"",""totalCents"":2700}",canonical.seedline_projection,seedline.v1,accepted,seedline_correlated,1,2026-07-05T09:09:00Z,2026-07-05T09:09:00Z,2026-07-05T09:09:00Z,2026-07-05T09:09:00Z,2026-07-05T09:09:00Z,2026-07-05T09:09:00Z,2026-07-05T09:09:00Z,,,,"{""lineage"": ""explicit"", ""seedline"": true}",
evt_seedline_sale_0004,biz_prisma_rey_lineage_seed,term_tablet_pos_001,sales.sale.closed,SALE_CLOSED,sale_seedline_0004,[REDACTED_SECRET],corr_seedline_0004,"{""clientRequestId"":""req_seedline_0004"",""createdAt"":""2026-07-05T09:12:00Z"",""folio"":""PR-20260705-0004"",""originBusinessId"":""biz_prisma_rey_lineage_seed"",""originDeviceId"":""DEV-2026-000002"",""originDeviceType"":""tablet_pos"",""originSaleId"":""sale_seedline_0004"",""originStoreId"":""store_prisma_rey_centro"",""originTerminalId"":""term_tablet_pos_001"",""saleId"":""sale_seedline_0004"",""seedline"":true,""sourceEventId"":""evt_seedline_sale_0004"",""status"":""COMPLETED"",""surface"":""tablet"",""syncBatchId"":""sync_batch_seedline_001"",""target"":""canonical"",""totalCents"":3300}",canonical.seedline_projection,seedline.v1,accepted,seedline_correlated,1,2026-07-05T09:12:00Z,2026-07-05T09:12:00Z,2026-07-05T09:12:00Z,2026-07-05T09:12:00Z,2026-07-05T09:12:00Z,2026-07-05T09:12:00Z,2026-07-05T09:12:00Z,,,,"{""lineage"": ""explicit"", ""seedline"": true}",
evt_seedline_sale_0005,biz_prisma_rey_lineage_seed,term_tablet_pos_001,sales.sale.closed,SALE_CLOSED,sale_seedline_0005,[REDACTED_SECRET],corr_seedline_0005,"{""clientRequestId"":""req_seedline_0005"",""createdAt"":""2026-07-05T09:15:00Z"",""folio"":""PR-20260705-0005"",""originBusinessId"":""biz_prisma_rey_lineage_seed"",""originDeviceId"":""DEV-2026-000002"",""originDeviceType"":""tablet_pos"",""originSaleId"":""sale_seedline_0005"",""originStoreId"":""store_prisma_rey_centro"",""originTerminalId"":""term_tablet_pos_001"",""saleId"":""sale_seedline_0005"",""seedline"":true,""sourceEventId"":""evt_seedline_sale_0005"",""status"":""PAID"",""surface"":""tablet"",""syncBatchId"":""sync_batch_seedline_001"",""target"":""canonical"",""totalCents"":3000}",canonical.seedline_projection,seedline.v1,accepted,seedline_correlated,1,2026-07-05T09:15:00Z,2026-07-05T09:15:00Z,2026-07-05T09:15:00Z,2026-07-05T09:15:00Z,2026-07-05T09:15:00Z,2026-07-05T09:15:00Z,2026-07-05T09:15:00Z,,,,"{""lineage"": ""explicit"", ""seedline"": true}",
evt_seedline_sale_0006,biz_prisma_rey_lineage_seed,term_tablet_pos_001,sales.sale.closed,SALE_CLOSED,sale_seedline_0006,[REDACTED_SECRET],corr_seedline_0006,"{""clientRequestId"":""req_seedline_0006"",""createdAt"":""2026-07-05T09:18:00Z"",""folio"":""PR-20260705-0006"",""originBusinessId"":""biz_prisma_rey_lineage_seed"",""originDeviceId"":""DEV-2026-000002"",""originDeviceType"":""tablet_pos"",""originSaleId"":""sale_seedline_0006"",""originStoreId"":""store_prisma_rey_centro"",""originTerminalId"":""term_tablet_pos_001"",""saleId"":""sale_seedline_0006"",""seedline"":true,""sourceEventId"":""evt_seedline_sale_0006"",""status"":""COMPLETED"",""surface"":""tablet"",""syncBatchId"":""sync_batch_seedline_001"",""target"":""canonical"",""totalCents"":2700}",canonical.seedline_projection,seedline.v1,accepted,seedline_correlated,1,2026-07-05T09:18:00Z,2026-07-05T09:18:00Z,2026-07-05T09:18:00Z,2026-07-05T09:18:00Z,2026-07-05T09:18:00Z,2026-07-05T09:18:00Z,2026-07-05T09:18:00Z,,,,"{""lineage"": ""explicit"", ""seedline"": true}",
evt_seedline_sale_0007,biz_prisma_rey_lineage_seed,term_tablet_pos_002,sales.sale.closed,SALE_CLOSED,sale_seedline_0007,[REDACTED_SECRET],corr_seedline_0007,"{""clientRequestId"":""req_seedline_0007"",""createdAt"":""2026-07-05T09:21:00Z"",""folio"":""PR-20260705-0007"",""originBusinessId"":""biz_prisma_rey_lineage_seed"",""originDeviceId"":""DEV-2026-000002"",""originDeviceType"":""tablet_pos"",""originSaleId"":""sale_seedline_0007"",""originStoreId"":""store_prisma_rey_centro"",""originTerminalId"":""term_tablet_pos_002"",""saleId"":""sale_seedline_0007"",""seedline"":true,""sourceEventId"":""evt_seedline_sale_0007"",""status"":""PAID"",""surface"":""tablet"",""syncBatchId"":""sync_batch_seedline_001"",""target"":""canonical"",""totalCents"":3300}",canonical.seedline_projection,seedline.v1,accepted,seedline_correlated,1,2026-07-05T09:21:00Z,2026-07-05T09:21:00Z,2026-07-05T09:21:00Z,2026-07-05T09:21:00Z,2026-07-05T09:21:00Z,2026-07-05T09:21:00Z,2026-07-05T09:21:00Z,,,,"{""lineage"": ""explicit"", ""seedline"": true}",
evt_seedline_sale_0008,biz_prisma_rey_lineage_seed,term_tablet_pos_002,sales.sale.closed,SALE_CLOSED,sale_seedline_0008,[REDACTED_SECRET],corr_seedline_0008,"{""clientRequestId"":""req_seedline_0008"",""createdAt"":""2026-07-05T09:24:00Z"",""folio"":""PR-20260705-0008"",""originBusinessId"":""biz_prisma_rey_lineage_seed"",""originDeviceId"":""DEV-2026-000002"",""originDeviceType"":""tablet_pos"",""originSaleId"":""sale_seedline_0008"",""originStoreId"":""store_prisma_rey_centro"",""originTerminalId"":""term_tablet_pos_002"",""saleId"":""sale_seedline_0008"",""seedline"":true,""sourceEventId"":""evt_seedline_sale_0008"",""status"":""COMPLETED"",""surface"":""tablet"",""syncBatchId"":""sync_batch_seedline_001"",""target"":""canonical"",""totalCents"":3000}",canonical.seedline_projection,seedline.v1,accepted,seedline_correlated,1,2026-07-05T09:24:00Z,2026-07-05T09:24:00Z,2026-07-05T09:24:00Z,2026-07-05T09:24:00Z,2026-07-05T09:24:00Z,2026-07-05T09:24:00Z,2026-07-05T09:24:00Z,,,,"{""lineage"": ""explicit"", ""seedline"": true}",
evt_seedline_sale_0009,biz_prisma_rey_lineage_seed,term_tablet_pos_002,sales.sale.closed,SALE_CLOSED,sale_seedline_0009,[REDACTED_SECRET],corr_seedline_0009,"{""clientRequestId"":""req_seedline_0009"",""createdAt"":""2026-07-05T09:27:00Z"",""folio"":""PR-20260705-0009"",""originBusinessId"":""biz_prisma_rey_lineage_seed"",""originDeviceId"":""DEV-2026-000002"",""originDeviceType"":""tablet_pos"",""originSaleId"":""sale_seedline_0009"",""originStoreId"":""store_prisma_rey_centro"",""originTerminalId"":""term_tablet_pos_002"",""saleId"":""sale_seedline_0009"",""seedline"":true,""sourceEventId"":""evt_seedline_sale_0009"",""status"":""PAID"",""surface"":""tablet"",""syncBatchId"":""sync_batch_seedline_001"",""target"":""canonical"",""totalCents"":2700}",canonical.seedline_projection,seedline.v1,accepted,seedline_correlated,1,2026-07-05T09:27:00Z,2026-07-05T09:27:00Z,2026-07-05T09:27:00Z,2026-07-05T09:27:00Z,2026-07-05T09:27:00Z,2026-07-05T09:27:00Z,2026-07-05T09:27:00Z,,,,"{""lineage"": ""explicit"", ""seedline"": true}",
evt_seedline_sale_0010,biz_prisma_rey_lineage_seed,term_tablet_pos_002,sales.sale.closed,SALE_CLOSED,sale_seedline_0010,[REDACTED_SECRET],corr_seedline_0010,"{""clientRequestId"":""req_seedline_0010"",""createdAt"":""2026-07-05T09:30:00Z"",""folio"":""PR-20260705-0010"",""originBusinessId"":""biz_prisma_rey_lineage_seed"",""originDeviceId"":""DEV-2026-000002"",""originDeviceType"":""tablet_pos"",""originSaleId"":""sale_seedline_0010"",""originStoreId"":""store_prisma_rey_centro"",""originTerminalId"":""term_tablet_pos_002"",""saleId"":""sale_seedline_0010"",""seedline"":true,""sourceEventId"":""evt_seedline_sale_0010"",""status"":""COMPLETED"",""surface"":""tablet"",""syncBatchId"":""sync_batch_seedline_001"",""target"":""canonical"",""totalCents"":3300}",canonical.seedline_projection,seedline.v1,accepted,seedline_correlated,1,2026-07-05T09:30:00Z,2026-07-05T09:30:00Z,2026-07-05T09:30:00Z,2026-07-05T09:30:00Z,2026-07-05T09:30:00Z,2026-07-05T09:30:00Z,2026-07-05T09:30:00Z,,,,"{""lineage"": ""explicit"", ""seedline"": true}",
