id,businessId,terminalId,cashSessionId,folio,cashier,totalCents,status,createdAt
sale_seedline_0001,biz_prisma_rey_lineage_seed,term_tablet_pos_001,cash_seed_tpos_001,PR-20260705-0001,Caja 1,3300,PAID,2026-07-05T09:03:00Z
sale_seedline_0002,biz_prisma_rey_lineage_seed,term_tablet_pos_001,cash_seed_tpos_001,PR-20260705-0002,Caja 1,3000,COMPLETED,2026-07-05T09:06:00Z
sale_seedline_0003,biz_prisma_rey_lineage_seed,term_tablet_pos_001,cash_seed_tpos_001,PR-20260705-0003,Caja 1,2700,PAID,2026-07-05T09:09:00Z
sale_seedline_0004,biz_prisma_rey_lineage_seed,term_tablet_pos_001,cash_seed_tpos_001,PR-20260705-0004,Caja 1,3300,COMPLETED,2026-07-05T09:12:00Z
sale_seedline_0005,biz_prisma_rey_lineage_seed,term_tablet_pos_001,cash_seed_tpos_001,PR-20260705-0005,Caja 1,3000,PAID,2026-07-05T09:15:00Z
sale_seedline_0006,biz_prisma_rey_lineage_seed,term_tablet_pos_001,cash_seed_tpos_001,PR-20260705-0006,Caja 1,2700,COMPLETED,2026-07-05T09:18:00Z
sale_seedline_0007,biz_prisma_rey_lineage_seed,term_tablet_pos_002,cash_seed_tpos_002,PR-20260705-0007,Caja 2,3300,PAID,2026-07-05T09:21:00Z
sale_seedline_0008,biz_prisma_rey_lineage_seed,term_tablet_pos_002,cash_seed_tpos_002,PR-20260705-0008,Caja 2,3000,COMPLETED,2026-07-05T09:24:00Z
sale_seedline_0009,biz_prisma_rey_lineage_seed,term_tablet_pos_002,cash_seed_tpos_002,PR-20260705-0009,Caja 2,2700,PAID,2026-07-05T09:27:00Z
sale_seedline_0010,biz_prisma_rey_lineage_seed,term_tablet_pos_002,cash_seed_tpos_002,PR-20260705-0010,Caja 2,3300,COMPLETED,2026-07-05T09:30:00Z
sale_seedline_0011,biz_prisma_rey_lineage_seed,term_tablet_pos_002,cash_seed_tpos_002,PR-20260705-0011,Caja 2,3000,PAID,2026-07-05T09:33:00Z
sale_seedline_0012,biz_prisma_rey_lineage_seed,term_tablet_pos_002,cash_seed_tpos_002,PR-20260705-0012,Caja 2,2700,COMPLETED,2026-07-05T09:36:00Z
