id,businessId,saleId,productId,sku,productName,qty,priceCents,totalCents,createdAt
line_seedline_0001_1,biz_prisma_rey_lineage_seed,sale_seedline_0001,prod_pan_dulce,PAN-DULCE,Pan dulce,1,1500,1500,2026-07-05T09:03:00Z
line_seedline_0001_2,biz_prisma_rey_lineage_seed,sale_seedline_0001,prod_cafe_chico,CAFE-CHI,Cafe chico,1,1800,1800,2026-07-05T09:03:00Z
line_seedline_0002_1,biz_prisma_rey_lineage_seed,sale_seedline_0002,prod_cafe_chico,CAFE-CHI,Cafe chico,1,1800,1800,2026-07-05T09:06:00Z
line_seedline_0002_2,biz_prisma_rey_lineage_seed,sale_seedline_0002,prod_agua_600,AGUA-600,Agua 600 ml,1,1200,1200,2026-07-05T09:06:00Z
line_seedline_0003_1,biz_prisma_rey_lineage_seed,sale_seedline_0003,prod_agua_600,AGUA-600,Agua 600 ml,1,1200,1200,2026-07-05T09:09:00Z
line_seedline_0003_2,biz_prisma_rey_lineage_seed,sale_seedline_0003,prod_pan_dulce,PAN-DULCE,Pan dulce,1,1500,1500,2026-07-05T09:09:00Z
line_seedline_0004_1,biz_prisma_rey_lineage_seed,sale_seedline_0004,prod_pan_dulce,PAN-DULCE,Pan dulce,1,1500,1500,2026-07-05T09:12:00Z
line_seedline_0004_2,biz_prisma_rey_lineage_seed,sale_seedline_0004,prod_cafe_chico,CAFE-CHI,Cafe chico,1,1800,1800,2026-07-05T09:12:00Z
line_seedline_0005_1,biz_prisma_rey_lineage_seed,sale_seedline_0005,prod_cafe_chico,CAFE-CHI,Cafe chico,1,1800,1800,2026-07-05T09:15:00Z
line_seedline_0005_2,biz_prisma_rey_lineage_seed,sale_seedline_0005,prod_agua_600,AGUA-600,Agua 600 ml,1,1200,1200,2026-07-05T09:15:00Z
line_seedline_0006_1,biz_prisma_rey_lineage_seed,sale_seedline_0006,prod_agua_600,AGUA-600,Agua 600 ml,1,1200,1200,2026-07-05T09:18:00Z
line_seedline_0006_2,biz_prisma_rey_lineage_seed,sale_seedline_0006,prod_pan_dulce,PAN-DULCE,Pan dulce,1,1500,1500,2026-07-05T09:18:00Z
line_seedline_0007_1,biz_prisma_rey_lineage_seed,sale_seedline_0007,prod_pan_dulce,PAN-DULCE,Pan dulce,1,1500,1500,2026-07-05T09:21:00Z
line_seedline_0007_2,biz_prisma_rey_lineage_seed,sale_seedline_0007,prod_cafe_chico,CAFE-CHI,Cafe chico,1,1800,1800,2026-07-05T09:21:00Z
line_seedline_0008_1,biz_prisma_rey_lineage_seed,sale_seedline_0008,prod_cafe_chico,CAFE-CHI,Cafe chico,1,1800,1800,2026-07-05T09:24:00Z
line_seedline_0008_2,biz_prisma_rey_lineage_seed,sale_seedline_0008,prod_agua_600,AGUA-600,Agua 600 ml,1,1200,1200,2026-07-05T09:24:00Z
line_seedline_0009_1,biz_prisma_rey_lineage_seed,sale_seedline_0009,prod_agua_600,AGUA-600,Agua 600 ml,1,1200,1200,2026-07-05T09:27:00Z
line_seedline_0009_2,biz_prisma_rey_lineage_seed,sale_seedline_0009,prod_pan_dulce,PAN-DULCE,Pan dulce,1,1500,1500,2026-07-05T09:27:00Z
line_seedline_0010_1,biz_prisma_rey_lineage_seed,sale_seedline_0010,prod_pan_dulce,PAN-DULCE,Pan dulce,1,1500,1500,2026-07-05T09:30:00Z
line_seedline_0010_2,biz_prisma_rey_lineage_seed,sale_seedline_0010,prod_cafe_chico,CAFE-CHI,Cafe chico,1,1800,1800,2026-07-05T09:30:00Z
line_seedline_0011_1,biz_prisma_rey_lineage_seed,sale_seedline_0011,prod_cafe_chico,CAFE-CHI,Cafe chico,1,1800,1800,2026-07-05T09:33:00Z
line_seedline_0011_2,biz_prisma_rey_lineage_seed,sale_seedline_0011,prod_agua_600,AGUA-600,Agua 600 ml,1,1200,1200,2026-07-05T09:33:00Z
line_seedline_0012_1,biz_prisma_rey_lineage_seed,sale_seedline_0012,prod_agua_600,AGUA-600,Agua 600 ml,1,1200,1200,2026-07-05T09:36:00Z
line_seedline_0012_2,biz_prisma_rey_lineage_seed,sale_seedline_0012,prod_pan_dulce,PAN-DULCE,Pan dulce,1,1500,1500,2026-07-05T09:36:00Z
