id,businessId,terminalId,cashSessionId,clientRequestId,folio,cashier,subtotalCents,discountCents,totalCents,completedAt,paymentMethod,cashReceivedCents,changeCents,status,createdAt
sale_seedline_0001,biz_prisma_rey_lineage_seed,term_tablet_pos_001,cash_seed_tpos_001,req_seedline_0001,PR-20260705-0001,Caja 1,3300,0,3300,2026-07-05T09:03:00Z,cash,3300,0,PAID,2026-07-05T09:03:00Z
sale_seedline_0002,biz_prisma_rey_lineage_seed,term_tablet_pos_001,cash_seed_tpos_001,req_seedline_0002,PR-20260705-0002,Caja 1,3000,0,3000,2026-07-05T09:06:00Z,cash,3000,0,COMPLETED,2026-07-05T09:06:00Z
sale_seedline_0003,biz_prisma_rey_lineage_seed,term_tablet_pos_001,cash_seed_tpos_001,req_seedline_0003,PR-20260705-0003,Caja 1,2700,0,2700,2026-07-05T09:09:00Z,cash,2700,0,PAID,2026-07-05T09:09:00Z
sale_seedline_0004,biz_prisma_rey_lineage_seed,term_tablet_pos_001,cash_seed_tpos_001,req_seedline_0004,PR-20260705-0004,Caja 1,3300,0,3300,2026-07-05T09:12:00Z,cash,3300,0,COMPLETED,2026-07-05T09:12:00Z
sale_seedline_0005,biz_prisma_rey_lineage_seed,term_tablet_pos_001,cash_seed_tpos_001,req_seedline_0005,PR-20260705-0005,Caja 1,3000,0,3000,2026-07-05T09:15:00Z,cash,3000,0,PAID,2026-07-05T09:15:00Z
sale_seedline_0006,biz_prisma_rey_lineage_seed,term_tablet_pos_001,cash_seed_tpos_001,req_seedline_0006,PR-20260705-0006,Caja 1,2700,0,2700,2026-07-05T09:18:00Z,cash,2700,0,COMPLETED,2026-07-05T09:18:00Z
sale_seedline_0007,biz_prisma_rey_lineage_seed,term_tablet_pos_002,cash_seed_tpos_002,req_seedline_0007,PR-20260705-0007,Caja 2,3300,0,3300,2026-07-05T09:21:00Z,cash,3300,0,PAID,2026-07-05T09:21:00Z
sale_seedline_0008,biz_prisma_rey_lineage_seed,term_tablet_pos_002,cash_seed_tpos_002,req_seedline_0008,PR-20260705-0008,Caja 2,3000,0,3000,2026-07-05T09:24:00Z,cash,3000,0,COMPLETED,2026-07-05T09:24:00Z
sale_seedline_0009,biz_prisma_rey_lineage_seed,term_tablet_pos_002,cash_seed_tpos_002,req_seedline_0009,PR-20260705-0009,Caja 2,2700,0,2700,2026-07-05T09:27:00Z,cash,2700,0,PAID,2026-07-05T09:27:00Z
sale_seedline_0010,biz_prisma_rey_lineage_seed,term_tablet_pos_002,cash_seed_tpos_002,req_seedline_0010,PR-20260705-0010,Caja 2,3300,0,3300,2026-07-05T09:30:00Z,cash,3300,0,COMPLETED,2026-07-05T09:30:00Z
sale_seedline_0011,biz_prisma_rey_lineage_seed,term_tablet_pos_002,cash_seed_tpos_002,req_seedline_0011,PR-20260705-0011,Caja 2,3000,0,3000,2026-07-05T09:33:00Z,cash,3000,0,PAID,2026-07-05T09:33:00Z
sale_seedline_0012,biz_prisma_rey_lineage_seed,term_tablet_pos_002,cash_seed_tpos_002,req_seedline_0012,PR-20260705-0012,Caja 2,2700,0,2700,2026-07-05T09:36:00Z,cash,2700,0,COMPLETED,2026-07-05T09:36:00Z
