id,businessId,saleId,tenderType,amountCents,reference,metadataJson,recordedAt
tender_seedline_0001,biz_prisma_rey_lineage_seed,sale_seedline_0001,cash,3300,cash-PR-20260705-0001,"{""seedline"": true, ""originSaleId"": ""sale_seedline_0001"", ""clientRequestId"": ""req_seedline_0001"", ""originDeviceId"": ""DEV-2026-000002"", ""originDeviceType"": ""tablet_pos"", ""originTerminalId"": ""term_tablet_pos_001"", ""originStoreId"": ""store_prisma_rey_centro"", ""originBusinessId"": ""biz_prisma_rey_lineage_seed"", ""syncBatchId"": ""sync_batch_seedline_001""}",2026-07-05T09:03:00Z
tender_seedline_0002,biz_prisma_rey_lineage_seed,sale_seedline_0002,cash,3000,cash-PR-20260705-0002,"{""seedline"": true, ""originSaleId"": ""sale_seedline_0002"", ""clientRequestId"": ""req_seedline_0002"", ""originDeviceId"": ""DEV-2026-000002"", ""originDeviceType"": ""tablet_pos"", ""originTerminalId"": ""term_tablet_pos_001"", ""originStoreId"": ""store_prisma_rey_centro"", ""originBusinessId"": ""biz_prisma_rey_lineage_seed"", ""syncBatchId"": ""sync_batch_seedline_001""}",2026-07-05T09:06:00Z
tender_seedline_0003,biz_prisma_rey_lineage_seed,sale_seedline_0003,cash,2700,cash-PR-20260705-0003,"{""seedline"": true, ""originSaleId"": ""sale_seedline_0003"", ""clientRequestId"": ""req_seedline_0003"", ""originDeviceId"": ""DEV-2026-000002"", ""originDeviceType"": ""tablet_pos"", ""originTerminalId"": ""term_tablet_pos_001"", ""originStoreId"": ""store_prisma_rey_centro"", ""originBusinessId"": ""biz_prisma_rey_lineage_seed"", ""syncBatchId"": ""sync_batch_seedline_001""}",2026-07-05T09:09:00Z
tender_seedline_0004,biz_prisma_rey_lineage_seed,sale_seedline_0004,cash,3300,cash-PR-20260705-0004,"{""seedline"": true, ""originSaleId"": ""sale_seedline_0004"", ""clientRequestId"": ""req_seedline_0004"", ""originDeviceId"": ""DEV-2026-000002"", ""originDeviceType"": ""tablet_pos"", ""originTerminalId"": ""term_tablet_pos_001"", ""originStoreId"": ""store_prisma_rey_centro"", ""originBusinessId"": ""biz_prisma_rey_lineage_seed"", ""syncBatchId"": ""sync_batch_seedline_001""}",2026-07-05T09:12:00Z
tender_seedline_0005,biz_prisma_rey_lineage_seed,sale_seedline_0005,cash,3000,cash-PR-20260705-0005,"{""seedline"": true, ""originSaleId"": ""sale_seedline_0005"", ""clientRequestId"": ""req_seedline_0005"", ""originDeviceId"": ""DEV-2026-000002"", ""originDeviceType"": ""tablet_pos"", ""originTerminalId"": ""term_tablet_pos_001"", ""originStoreId"": ""store_prisma_rey_centro"", ""originBusinessId"": ""biz_prisma_rey_lineage_seed"", ""syncBatchId"": ""sync_batch_seedline_001""}",2026-07-05T09:15:00Z
tender_seedline_0006,biz_prisma_rey_lineage_seed,sale_seedline_0006,cash,2700,cash-PR-20260705-0006,"{""seedline"": true, ""originSaleId"": ""sale_seedline_0006"", ""clientRequestId"": ""req_seedline_0006"", ""originDeviceId"": ""DEV-2026-000002"", ""originDeviceType"": ""tablet_pos"", ""originTerminalId"": ""term_tablet_pos_001"", ""originStoreId"": ""store_prisma_rey_centro"", ""originBusinessId"": ""biz_prisma_rey_lineage_seed"", ""syncBatchId"": ""sync_batch_seedline_001""}",2026-07-05T09:18:00Z
tender_seedline_0007,biz_prisma_rey_lineage_seed,sale_seedline_0007,cash,3300,cash-PR-20260705-0007,"{""seedline"": true, ""originSaleId"": ""sale_seedline_0007"", ""clientRequestId"": ""req_seedline_0007"", ""originDeviceId"": ""DEV-2026-000005"", ""originDeviceType"": ""tablet_pos"", ""originTerminalId"": ""term_tablet_pos_002"", ""originStoreId"": ""store_prisma_rey_centro"", ""originBusinessId"": ""biz_prisma_rey_lineage_seed"", ""syncBatchId"": ""sync_batch_seedline_001""}",2026-07-05T09:21:00Z
tender_seedline_0008,biz_prisma_rey_lineage_seed,sale_seedline_0008,cash,3000,cash-PR-20260705-0008,"{""seedline"": true, ""originSaleId"": ""sale_seedline_0008"", ""clientRequestId"": ""req_seedline_0008"", ""originDeviceId"": ""DEV-2026-000005"", ""originDeviceType"": ""tablet_pos"", ""originTerminalId"": ""term_tablet_pos_002"", ""originStoreId"": ""store_prisma_rey_centro"", ""originBusinessId"": ""biz_prisma_rey_lineage_seed"", ""syncBatchId"": ""sync_batch_seedline_001""}",2026-07-05T09:24:00Z
tender_seedline_0009,biz_prisma_rey_lineage_seed,sale_seedline_0009,cash,2700,cash-PR-20260705-0009,"{""seedline"": true, ""originSaleId"": ""sale_seedline_0009"", ""clientRequestId"": ""req_seedline_0009"", ""originDeviceId"": ""DEV-2026-000005"", ""originDeviceType"": ""tablet_pos"", ""originTerminalId"": ""term_tablet_pos_002"", ""originStoreId"": ""store_prisma_rey_centro"", ""originBusinessId"": ""biz_prisma_rey_lineage_seed"", ""syncBatchId"": ""sync_batch_seedline_001""}",2026-07-05T09:27:00Z
tender_seedline_0010,biz_prisma_rey_lineage_seed,sale_seedline_0010,cash,3300,cash-PR-20260705-0010,"{""seedline"": true, ""originSaleId"": ""sale_seedline_0010"", ""clientRequestId"": ""req_seedline_0010"", ""originDeviceId"": ""DEV-2026-000005"", ""originDeviceType"": ""tablet_pos"", ""originTerminalId"": ""term_tablet_pos_002"", ""originStoreId"": ""store_prisma_rey_centro"", ""originBusinessId"": ""biz_prisma_rey_lineage_seed"", ""syncBatchId"": ""sync_batch_seedline_001""}",2026-07-05T09:30:00Z
tender_seedline_0011,biz_prisma_rey_lineage_seed,sale_seedline_0011,cash,3000,cash-PR-20260705-0011,"{""seedline"": true, ""originSaleId"": ""sale_seedline_0011"", ""clientRequestId"": ""req_seedline_0011"", ""originDeviceId"": ""DEV-2026-000005"", ""originDeviceType"": ""tablet_pos"", ""originTerminalId"": ""term_tablet_pos_002"", ""originStoreId"": ""store_prisma_rey_centro"", ""originBusinessId"": ""biz_prisma_rey_lineage_seed"", ""syncBatchId"": ""sync_batch_seedline_001""}",2026-07-05T09:33:00Z
tender_seedline_0012,biz_prisma_rey_lineage_seed,sale_seedline_0012,cash,2700,cash-PR-20260705-0012,"{""seedline"": true, ""originSaleId"": ""sale_seedline_0012"", ""clientRequestId"": ""req_seedline_0012"", ""originDeviceId"": ""DEV-2026-000005"", ""originDeviceType"": ""tablet_pos"", ""originTerminalId"": ""term_tablet_pos_002"", ""originStoreId"": ""store_prisma_rey_centro"", ""originBusinessId"": ""biz_prisma_rey_lineage_seed"", ""syncBatchId"": ""sync_batch_seedline_001""}",2026-07-05T09:36:00Z
