pilot,title,latest_result_zip,receipt_status,skipped,modified
1,Visual OS Materiality Catalog,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_01_RESULT_20260526_154622.zip,NO_RECEIPT_FOUND,,2026-05-26T15:46:22
2,Chart Lab Recipe Export,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_02_RESULT_20260526_185618.zip,PASS,,2026-05-26T18:56:19
3,PC Referencia Visual,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_03_RESULT_20260526_191908.zip,PASS,,2026-05-26T19:19:08
4,PC Dashboard / Hoy,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_04_RESULT_20260526_192341.zip,PASS,,2026-05-26T19:23:42
5,Tablet Light Shell,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_05_RESULT_20260526_195528.zip,PASS,,2026-05-26T19:55:30
6,POS Final Gate Audit,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_06_RESULT_20260526_195929.zip,PASS,,2026-05-26T19:59:29
7,POS Light Safe Shell,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_07_RESULT_20260526_200433.zip,PASS,,2026-05-26T20:04:35
8,Checkout Light Safe Shell,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_08_RESULT_20260526_201830.zip,PASS,,2026-05-26T20:18:32
9,Mobile Supervisor Thin Mist Shell,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_09_RESULT_20260526_222559.zip,PASS,,2026-05-26T22:26:05
10,Dynamic Discovery EIT/Web + Control Center,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_10_RESULT_20260526_235305.zip,NO_RECEIPT_FOUND,,2026-05-26T23:53:21
11,EIT/Web Public Sober Shell,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_11_RESULT_20260526_235842.zip,PASS,False,2026-05-26T23:58:42
12,Control Center Governor Evidence Shell,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_12_RESULT_20260527_000748.zip,PASS,True,2026-05-27T00:07:48
13,Master Closeout Report,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_13_MASTER_CLOSEOUT_RESULT_20260527_001125 (1).zip,PASS,,2026-05-27T00:15:30
14,Visual QA Snapshot & Route Budget Audit,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_14_RESULT_20260527_020620.zip,PASS,,2026-05-27T02:06:21
15,Route Budget Enforcer Runtime,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_15_RESULT_20260527_024818.zip,PASS,,2026-05-27T02:48:53
16,Chart Lab Recipe Studio V2,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_16_RESULT_20260527_025714.zip,PASS,,2026-05-27T02:57:48
17,Surface Runtime Adapter V1,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_17_RESULT_20260527_040636.zip,PASS,,2026-05-27T04:07:00
18,Visual Regression Harness,PRISMA_SURFACE_VISUAL_GOVERNOR_PILOT_18_RESULT_20260527_042137.zip,PASS,,2026-05-27T04:23:00
19,Documentation Hub & Single Source of Truth,,MISSING_RESULT_ZIP,,
