surface,file,selector,layer,action,risks,background,position,z_index,isolation,overflow,opacity,backdrop_filter,height
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,"/* PRISMA CHART LAB — BLACK DIAMOND COMMAND THEME Version: 2026.05.18-premium-v1 Drop-in replacement for: products/chart-lab/app/app/globals.css Intent: - Kill the default white paper look. - Turn Chart Lab into a premium dark operations cockpit. - Keep existing React/Next class names intact. - Add deep glass, neon telemetry, aurora lighting, complex chart-frame staging, subtle motion, accessible reduced-motion fallback, and chart-specific atmospheres. Notes: - No backend assumptions. - No endpo",background,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,:root,page-surface,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,*,unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,"*::before, *::after",unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,"html, body",unknown,conservar,,"radial-gradient(circle at 12% -4%, rgba(25, 211, 255, 0.18), transparent 34rem), radial-gradient(circle at 92% 2%, rgba(117, 87, 255, 0.18), transparent 32rem), radial-gradient(circle at 52% 100%, rgba(34, 247, 166, 0.08), transparent 40rem), linear-gradient(135deg, #01030a 0%, #061124 42%, #02040a 100%)",,,,,,,100%
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,body,unknown,conservar,,,,,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,"body::before, body::after",unknown,conservar,position:fixed; z-index:-3,,fixed,-3,,,,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,body::before,unknown,conservar,opacity:.72,"linear-gradient(90deg, rgba(99, 223, 255, 0.045) 1px, transparent 1px), linear-gradient(rgba(99, 223, 255, 0.035) 1px, transparent 1px), radial-gradient(circle at 50% 10%, rgba(255,255,255,0.035), transparent 28rem)",,,,,.72,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,body::after,unknown,conservar,z-index:-2; opacity:.32,"linear-gradient(120deg, transparent 0%, rgba(255,255,255,0.045) 22%, transparent 36%), var(--lab-noise)",,-2,,,.32,,
unknown,tools/_local/evidence/chart-lab/handoff-pack-2026-05-22T21-55-23-533Z/payload/products/chart-lab/app/app/globals.css,"button, select, input, textarea",unknown,conservar,,,,,,,,,
