source_hint,source_root,original_filename,relative_path,size_bytes,sha256,width,height,product_name,brand,variant,size,category,skin,confidence,target_filename,action,notes,created_at,updated_at
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_17 a.m. (1).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_06_17 a.m. (1).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_17 a.m. (1).png",1637532,0849b9bb783ce1ed543c09cf9bad12acab4aa2aaa8a275efcbd9bf94beeb2849,,,Café soluble,,,200g,cafe,light,0.96,cafe-soluble-200g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_17 a.m. (2).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_06_17 a.m. (2).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_17 a.m. (2).png",1392263,cc21ed7715ede908c70d47754f23aed94f5f7d0d95584e1043e56161875e16c8,,,Detergente multiusos,,,1kg,limpieza,light,0.96,detergente-multiusos-1kg.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_17 a.m. (3).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_06_17 a.m. (3).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_17 a.m. (3).png",1175033,35e72ab40fac193e5710c5b51bbb94795b3530e2dc95f4063f3b42620fc12262,,,Agua purificada,,,600ml,bebidas,light,0.96,agua-purificada-600ml.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_17 a.m. (4).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_06_17 a.m. (4).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_17 a.m. (4).png",1612340,c7333c6d7afee19fb780e170c0424f6604b8af2a90fc96c9d51a479241a10416,,,Papas clásicas,,clásicas,45g,botanas,dark,0.96,papas-clasicas-45g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_17 a.m. (5).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_06_17 a.m. (5).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_17 a.m. (5).png",1481529,09454ac8948f5bd163e6b8cbe58a4f9072e60badee636e12da093ed2a8ca7b29,,,Papas clásicas,,clásicas,45g,botanas,light,0.96,papas-clasicas-45g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo claro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_18 a.m. (10).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_06_18 a.m. (10).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_18 a.m. (10).png",1855874,c7a56aeaa86299b2f5d51de8b1773f83ab4cb0265969ac16f167c8317d8824f5,,,Café soluble,,,200g,cafe,dark,0.96,cafe-soluble-200g.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_18 a.m. (6).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_06_18 a.m. (6).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_18 a.m. (6).png",1823313,b9117932757cadb857167ef0e1017548e92b64d4a65ab3fc23807f0ea07c1f28,,,Agua purificada,,,600ml,bebidas,dark,0.96,agua-purificada-600ml.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_18 a.m. (7).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_06_18 a.m. (7).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_18 a.m. (7).png",1397835,67a4ff80f5ef5040d976bf46498b5b7d2dbeef7241df36ceea99dc11ee2205a1,,,Aceite vegetal,,,,abarrotes,light,0.92,aceite-vegetal.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; tamaño no visible con seguridad.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_18 a.m. (8).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_06_18 a.m. (8).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_18 a.m. (8).png",1861526,c6c91890aadfdffefafb1a8eaf7698a83d94757bfd360f2a88d461bace434656,,,Aceite vegetal,,,,abarrotes,dark,0.92,aceite-vegetal.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; tamaño no visible con seguridad.",2026-05-06T00:00:00,2026-05-06T00:00:00
"Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_18 a.m. (9).png",F:\Imagenes packshot 1,"ChatGPT Image 6 may 2026, 03_06_18 a.m. (9).png","Imagenes packshot 1/ChatGPT Image 6 may 2026, 03_06_18 a.m. (9).png",1779546,41565c1eec929182384268e3842ba54d7cc35e859dc27562b7533eb7fc93041d,,,Detergente multiusos,,,1kg,limpieza,dark,0.96,detergente-multiusos-1kg.png,organize,"Revisión visual manual; producto genérico, marca ficticia/no comercial omitida. Etiqueta clara; fondo oscuro.",2026-05-06T00:00:00,2026-05-06T00:00:00
